ROIid;ROIabbr;ROIname;ROIcolor
290;rSalVentAttnA_Ins_2;17Networks_RH_SalVentAttnA_Ins_2;199 58 249
291;rSalVentAttnA_Ins_3;17Networks_RH_SalVentAttnA_Ins_3;199 58 251
292;rSalVentAttnA_Ins_4;17Networks_RH_SalVentAttnA_Ins_4;199 58 252
293;rSalVentAttnA_FrOper_1;17Networks_RH_SalVentAttnA_FrOper_1;199 58 253
294;rSalVentAttnA_FrOper_2;17Networks_RH_SalVentAttnA_FrOper_2;199 58 254
295;rSalVentAttnA_FrOper_3;17Networks_RH_SalVentAttnA_FrOper_3;199 58 255
296;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1;199 58 247
297;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1;199 58 250
298;rSalVentAttnA_ParMed_2;17Networks_RH_SalVentAttnA_ParMed_2;196 51 249
299;rSalVentAttnA_FrMed_2;17Networks_RH_SalVentAttnA_FrMed_2;196 52 242
300;rSalVentAttnA_ParMed_3;17Networks_RH_SalVentAttnA_ParMed_3;196 52 243
301;rSalVentAttnA_ParMed_4;17Networks_RH_SalVentAttnA_ParMed_4;196 52 244
302;rSalVentAttnA_FrMed_3;17Networks_RH_SalVentAttnA_FrMed_3;196 52 245
303;rSalVentAttnA_FrMed_4;17Networks_RH_SalVentAttnA_FrMed_4;196 52 246
304;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1;250 152 214
305;rSalVentAttnB_PFClv_1;17Networks_RH_SalVentAttnB_PFClv_1;250 151 214
306;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1;250 151 215
307;rSalVentAttnB_PFCl_2;17Networks_RH_SalVentAttnB_PFCl_2;250 151 216
308;rSalVentAttnB_PFCl_3;17Networks_RH_SalVentAttnB_PFCl_3;250 151 217
309;rSalVentAttnB_Ins_1;17Networks_RH_SalVentAttnB_Ins_1;250 152 215
310;rSalVentAttnB_Ins_2;17Networks_RH_SalVentAttnB_Ins_2;250 152 216
